Genus	year	Date submitted	Case_Reference	Case_number	Collection_(clean)	Plate	Remarks	Patient / Shed Number	Species type	Specimen	Info/Nota	Amp 25-d	Amc 30-d	CL 100-d	Eft 30-d	Enr 5-d	Te 30-d	SF 300-d	W 5-d	Cn10-d	Ery 5-d	Tic 75-d	Ak 30-d
Escherichia	2009	14/8/09	CM2009-0620 E coli box 3 >>T30	CM2009-0620	E. coli Box 03 Tube 30	E75	Non Lactose Fermenter	206507	Feline	urinary	"Frank haematuria urine x1 (<1ml received, processed un-spun)"	R	R	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	2/9/09	CM2009-0671 E coli box 3 >>T33	CM2009-0671	E. coli Box 03 Tube 33	E76	Typical	257440	Ovine	digestive	"Sheep Caecum  x1 & Colon x1

received via Priscilla Hodge"	S	S	S	.	S	.	S	S	.	.	.	.
Escherichia	2009	2/9/09	CM2009-0672 E coli box 3 >>T34	CM2009-0672	E. coli Box 03 Tube 34	E77	Typical	257441	Ovine	digestive	"Sheep Caecum  x1 & Colon x1

received via Priscilla Hodge"	S	S	S	.	S	.	S	S	.	.	.	.
Escherichia	2009	8/9/09	CM2009-0689 E coli box 3 >>T35	CM2009-0689	E. coli Box 03 Tube 35	E78	Typical	257522	Equine	systemic or large cavities	"Peritoneal fluid x1 (~1ml received, processed un-spun)"	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2009	18/9/09	CM2009-0736 E coli box 3 >>T40	CM2009-0736	E. coli Box 03 Tube 40	E79	Typical	257763	Canine	respiratory	"E.T tube swab x1, Tracheal Wash swab x1, Tracheal Wash fluid x1 (~1ml received, processed un-spun) and E.T tube fluid (~1ml received, processed un-spun)."	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	21/9/09	CM2009-0741 E coli box 3 >>T42	CM2009-0741	E. coli Box 03 Tube 42	E80	Typical	257522	Equine	systemic or large cavities	Retroperitoneal abscess swab x1	R	.	.	R	R	R	R	R	R	.	.	.
Escherichia	2009	23/9/09	CM2009-0747 E coli box 3 >>T43	CM2009-0747	E. coli Box 03 Tube 43	E81	Typical	257881	Feline	urinary	"Urine x1 (~3ml received, processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	25/9/09	CM2009-0756 E coli box 3 >>T44	CM2009-0756	E. coli Box 03 Tube 44	E82	Typical	243233	Canine	urinary	"Urine x1 (~4ml received, processed spun)"	R	R	R	.	R	S	R	S	.	.	.	.
Escherichia	2009	28/9/09	CM2009-0762 E coli box 3 >>T45	CM2009-0762	E. coli Box 03 Tube 45	E83	Typical	236085	Canine	ear	Right ear swab x1	S	S	S	.	S	S	S	S	S	.	S	S
Escherichia	2009	28/9/09	CM2009-0763 E coli box 3 >>T46	CM2009-0763	E. coli Box 03 Tube 46	E84	Typical	257993	Equine	reproductive	Clitoral discharge swab x1	S	.	.	S	S	R	R	R	S	.	.	.
Escherichia	2009	6/10/09	CM2009-0780 E coli box 3 >>T47	CM2009-0780	E. coli Box 03 Tube 47	E85	Typical	239972	Canine	urinary	"Urine x1 (~6ml received, 5ml processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	6/10/09	CM2009-0781 E coli box 3 >>T48	CM2009-0781	E. coli Box 03 Tube 48	E86	Typical	244507	Feline	digestive	"Faecal x1

C. diff project as well!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	9/10/09	CM2009-0788 E coli box 3 >>T49	CM2009-0788	E. coli Box 03 Tube 49	E87	Typical	244824	Canine	digestive	"Faecal x1

C. diff project as well!"	R	S	R	.	R	R	R	R	.	.	.	.
Escherichia	2009	9/10/09	CM2009-0789 E coli box 3 >>T50	CM2009-0789	E. coli Box 03 Tube 50	E88	Typical	249773	Equine	digestive	"Pelvic flexure tissue x1,

ileum tissue x1 & small colon tissue x1"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	14/10/09	CM2009-0799 E coli box 3 >>T59	CM2009-0799	E. coli Box 03 Tube 59	E89	Rough	258309	Canine	systemic or large cavities	"Pleural fluid x1 (~1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	16/10/09	CM2009-0806 E coli box 3 >>T60	CM2009-0806	E. coli Box 03 Tube 60	E90	Typical	258446	Exotic/other	systemic or large cavities	"# 9044 Goat  Lung tissue x1, Lymph node tissue x1, colon gut contents x1 received from P.Hodge"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	20/10/09	CM2009-0815 E coli box 3 >>T61	CM2009-0815	E. coli Box 03 Tube 61	E91	Typical	239972	Canine	urinary	"Urine x1 (~1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	22/10/09	CM2009-0825 E coli box 3 >>T62	CM2009-0825	E. coli Box 03 Tube 62	E92	Typical	no info	Exotic/other	mammary	Wallaby Mammary gland x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	29/10/09	CM2009-0845 E coli box 3 >>T64	CM2009-0845	E. coli Box 03 Tube 64	E93	Typical	258771	Canine	reproductive	Cervical tissue swab x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	29/10/09	CM2009-0847 E coli box 3 >>T65	CM2009-0847	E. coli Box 03 Tube 65	E94	Typical	215498	Canine	urinary	"Urine x1 (<1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	3/11/09	CM2009-0861 E coli box 3 >>T66	CM2009-0861	E. coli Box 03 Tube 66	E95	Typical	258902	Canine	urinary	"Urine x1 (~50ml received, 5ml processed spun)"	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2009	5/11/09	CM2009-0868 E coli box 3 >>T67	CM2009-0868	E. coli Box 03 Tube 67	E96	Typical	258493	Feline	urinary	"Urine x1 (~1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	6/11/09	CM2009-0873 E coli box 3 >>T68	CM2009-0873	E. coli Box 03 Tube 68	E97	Typical	243233	Canine	urinary	"Urine x1 (~1ml received, processed un-spun)"	R	R	R	.	R	R	R	S	S	R	.	.
Escherichia	2009	6/11/09	CM2009-0873 E coli box 3 >>T69	CM2009-0873	E. coli Box 03 Tube 69	E98	Typical	243233	Canine	urinary	"Urine x1 (~1ml received, processed un-spun)"	R	R	R	.	R	R	R	R	R	R	R	.
Escherichia	2009	6/11/09	CM2009-0875 E coli box 3 >>T70	CM2009-0875	E. coli Box 03 Tube 70	E99	Typical	258941	Canine	digestive	"Faecal swab x1

Insufficient sample for proper culturing, small amount may impact on pathogen recovery, S. Haldane notified."	R	R	R	.	S	R	R	R	.	.	.	.
Escherichia	2009	9/11/09	CM2009-0881 E coli box 3 >>T71	CM2009-0881	E. coli Box 03 Tube 71	E100	Typical	259016	Canine	urinary	"Urine x1 (~4ml received, processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	13/11/09	CM2009-0894 E coli box 3 >>T72	CM2009-0894	E. coli Box 03 Tube 72	E101	Typical	259029	Equine	systemic or large cavities	"Large colon tissue x1

Scrotal skin tissue from gelding site x1"	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2009	24/11/09	CM2009-0919 E coli box 3 >>T73	CM2009-0919	E. coli Box 03 Tube 73	E102	Typical	228904	Canine	musculo-skeletal	Right elbow surgery site swab x1	R	S	R	.	R	R	R	R	.	.	.	.
Escherichia	2009	26/11/09	CM2009-0926 E coli box 3 >>T74	CM2009-0926	E. coli Box 03 Tube 74	E103	Typical	257969	Canine	digestive	"Bile fluid x1 (<1ml received, processed un-spun)"	R	R	R	R	R	R	R	R	R	.	.	S
Escherichia	2009	24/11/09	CM2009-0921 E coli box 3 >>T75	CM2009-0921	E. coli Box 03 Tube 75	E104	Typical	259430	Equine	systemic or large cavities	"Liver tissue, Lung tissue x1, ileum tissue x1 and colon tissue x1."	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	27/11/09	CM2009-0934 E coli box 3 >>T76	CM2009-0934	E. coli Box 03 Tube 76	E105	Typical	259540	Equine	systemic or large cavities	"Navel abscess swab x1 (aerobic & anaerobic only)

Lung tissue x1 (aerobic only)

Large intestine x1 (salmonella only)"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	27/11/09	CM2009-0936 E coli box 3 >>T77	CM2009-0936	E. coli Box 03 Tube 77	E106	Typical	259537	Equine	cardiovascular	Blood culture x1	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2009	27/11/09	CM2009-0938 E coli box 3 >>T78	CM2009-0938	E. coli Box 03 Tube 78	E107	Typical	259504	Canine	digestive	Enteric tract swab x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	30/11/09	CM2009-0943 E coli box 3 >>T79	CM2009-0943	E. coli Box 03 Tube 79	E108	Typical	259573	Canine	urinary	"Urine x1 (~1ml received, processed un-spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	30/11/09	CM2009-0946 E coli box 3 >>T80	CM2009-0946	E. coli Box 03 Tube 80	E109	Typical	259505	Canine	respiratory	ET swab x1	R	R	S	.	S	R	S	S	.	.	.	.
Escherichia	2009	2/12/09	CM2009-0952 E coli box 3 >>T81	CM2009-0952	E. coli Box 03 Tube 81	E110	Typical	259619	Canine	respiratory	"BAL x1 (~10ml received, 5ml processed spun)"	R	R	R	R	R	R	R	R	.	.	.	.
Escherichia	2009	3/12/09	CM2009-0956 E coli box 4 >>T09	CM2009-0956	E. coli Box 04 Tube 9	E111	Mucoid	No info.	Exotic/other	systemic or large cavities	"Seal: Faeces x1 (Salmonella & Campylobacter)

Lung tissue x1 (routine Aerobic & Mycoplasma) 

Lymph node tissue x1  (routine Aerobic & Mycoplasma)"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	3/12/09	CM2009-0957 E coli box 4 >>T10	CM2009-0957	E. coli Box 04 Tube 10	E112	Mucoid	259620	Equine	urinary	Urinary bladder abscessed tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	3/12/09	CM2009-0957 E coli box 4 >>T11	CM2009-0957	E. coli Box 04 Tube 11	E113	Typical	259620	Equine	urinary	Urinary bladder abscessed tissue x1	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	3/12/09	CM2009-0958 E coli box 4 >>T12	CM2009-0958	E. coli Box 04 Tube 12	E114	Mucoid	259414	Equine	systemic or large cavities	"Peritoneal swab x 1 

Kidney tissue x1"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	9/12/09	CM2009-0968 E coli box 4 >>T14	CM2009-0968	E. coli Box 04 Tube 14	E115	Typical	259841	Feline	urinary	"Turbid Urine x1 (~2ml received, processed un-spun as high turbidity observed)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	10/12/09	CM2009-0974 E coli box 4 >>T15	CM2009-0974	E. coli Box 04 Tube 15	E116	Typical	228904	Canine	skin and subcutis	Right elbow wound swab x1	R	S	R	.	R	R	R	R	.	.	.	.
Escherichia	2009	16/12/09	CM2009-0985 E coli box 4 >>T16	CM2009-0985	E. coli Box 04 Tube 16	E117	Typical	249863	Canine	digestive	"Faeces x1

C. diff project as well!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	17/12/09	CM2009-0992 E coli box 4 >>T17	CM2009-0992	E. coli Box 04 Tube 17	E118	Typical	250341	Canine	urinary	"Urine x1 (~7ml received, processed spun)"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	4/1/10	CM2010-0004 E coli box 4 >>T20	CM2010-0004	E. coli Box 04 Tube 20	E119	Typical	260482	Canine	skin and subcutis	Scrotal abscess / mass tissue x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	5/1/10	CM2010-0011 E coli box 4 >>T21	CM2010-0011	E. coli Box 04 Tube 21	E120	Typical	260194	Equine	urinary	Incisional infection post colic surgery swab x1	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2010	18/1/10	CM2010-0032 E coli box 4 >>T23	CM2010-0032	E. coli Box 04 Tube 23	E121	Typical	239069	Canine	skin and subcutis	Mastitis swab x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	19/1/10	CM2010-0035 E coli box 4 >>T24	CM2010-0035	E. coli Box 04 Tube 24	E122	Typical	259986	Canine	digestive	"Faeces x1

C. diff project as well!"	R	R	R	.	S	S	S	S	.	.	.	.
Escherichia	2010	3/2/10	CM2010-0085 E coli box 4 >>T27	CM2010-0085	E. coli Box 04 Tube 27	E123	Typical	255578	Feline	digestive	"Faeces x1

C. diff project as well!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	4/2/10	CM2010-0089 E coli box 4 >>T28	CM2010-0089	E. coli Box 04 Tube 28	E124	Typical	261265	Ovine	digestive	Ileum + colon pooled tissue x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	4/2/10	CM2010-0090 E coli box 4 >>T29	CM2010-0090	E. coli Box 04 Tube 29	E125	Non Lactose Fermenter	261266	Ovine	digestive	Ileum + colon pooled tissue x1	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	19/2/10	CM2010-0124 E coli box 4 >>T33	CM2010-0124	E. coli Box 04 Tube 33	E126	Typical	261507	Canine	digestive	"Faeces x1

C. diff project as well!"	S	S	S	.	S	R	R	R	.	.	.	.
Escherichia	2010	19/2/10	CM2010-0128 E coli box 4 >>T34	CM2010-0128	E. coli Box 04 Tube 34	E127	Typical	261074	Canine	respiratory	"Pleural fluid x1 (~2ml received, processed spun"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	23/2/10	CM2010-0131 E coli box 4 >>T36	CM2010-0131	E. coli Box 04 Tube 36	E128	Typical	261474	Equine	skin and subcutis	swab incision post colic	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2010	30/3/10	CM2010-0172 E. coli Box 4 Tube 37	CM2010-0172	E. coli Box 04 Tube 37	E129	Typical	258223	Feline	urinary	sample collected 29/3/10	R	R	R	.	S	S	S	S	.	.	.	.
Escherichia	2010	28/5/10	CM2010-0244 E.coli Box 4 Tube 38	CM2010-0244	E. coli Box 04 Tube 38	E130	Non Lactose Fermenter	242358	Canine	digestive	"2 swabs diarrhoea (1 aero, 1 anaerobes)"	R	R	S	.	S	R	S	S	.	.	.	.
Escherichia	2010	28/5/10	CM2010-0244 E. coli box 4 Tube 39	CM2010-0244	E. coli Box 04 Tube 39	E131	Non Lactose Fermenter	242358	Canine	digestive	"2 swabs diarrhoea (1 aero, 1 anaerobes)"	R	S	S	.	S	R	R	S	.	.	.	.
Escherichia	2010	31/5/10	CM2010-0245 E coli box 4 tube  40	CM2010-0245	E. coli Box 04 Tube 40	E132	Typical	256630	Feline	digestive	Faecal	S	S	S	.	S	R	R	S	.	.	.	.
Escherichia	2010	31/5/10	CM2010-0248 E coli Box 4 Tube 41	CM2010-0248	E. coli Box 04 Tube 41	E133	Typical	263971	Canine	digestive	faecal sample received	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2010	6/5/10	CM2010-0228 E coli Box 4 Tube 44	CM2010-0228	E. coli Box 04 Tube 44	E134	Typical	246943	Canine	urinary	Prostatic wash 2 swabs + 1 CMM	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	4/6/10	CM2010-0258 E coli Box 4 Tube 46	CM2010-0258	E. coli Box 04 Tube 46	E135	Non Lactose Fermenter	213629	Canine	lymphatic	"1 swab of pus, 1 lymph node, 1abdominal mass. Suspect Myco."	R	S	S	.	R	R	R	R	.	.	.	.
Escherichia	2010	8/6/10	CM2010-0259 E coli Box 4 Tube 47	CM2010-0259	E. coli Box 04 Tube 47	E136	Typical	262726	Canine	digestive	Faecal Swab	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	15/6/10	CM2010-0268 E coli Box 4 Tube 50	CM2010-0268	E. coli Box 04 Tube 50	E137	Typical	249143	Canine	digestive	Faecal sample received. Attempt to rule out infectious causes of diarrhoea	S	S	R	.	S	S	S	S	.	.	.	.
Escherichia	2010	16/6/10	CM2010-0270 E coli Box 4 Tube 51	CM2010-0270	E. coli Box 04 Tube 51	E138	Typical	262726	Canine	digestive	"3 faecal samples received, equal ammounts subsampled and pooled for analysis"	S	S	R	.	S	S	R	S	.	.	.	.
Escherichia	2010	28/6/10	CM2010-0289 E coli Box 4 Tube 53	CM2010-0289	E. coli Box 04 Tube 53	E139	Typical	24300	Canine	skin and subcutis	Swab plated on 26/6 by WAEC	.	.	.	.	S	.	.	.	S	.	S	S
Escherichia	2010	3/6/10	CM2010-0254 E coli Box 4 Tube 54	CM2010-0254	E. coli Box 04 Tube 54	E140	Typical	263880	Canine	digestive	faecal sample received	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	30/6/10	CM2010-0292 E coli Box 4 Tube 55	CM2010-0292	E. coli Box 04 Tube 55	E141	Typical	264627	Canine	digestive	Small intestine received. T18	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	14/7/10	CM2010-0311 E coli Box 4 Tube 59	CM2010-0311	E. coli Box 04 Tube 59	E142	Typical	264211	Canine	respiratory	Tracheal wash.	R	R	R	.	S	S	R	R	.	.	.	.
Escherichia	2010	21/7/10	CM2010-0323 E coli Box 4 Tube 60	CM2010-0323	E. coli Box 04 Tube 60	E143	Typical	265010	Feline	digestive	"Pancreatic bile.

Pus from pancreatic duct."	R	R	R	.	S	S	S	S	.	.	.	.
Escherichia	2010	26/7/10	CM2010-0332 E coli Box 4 Tube 62	CM2010-0332	E. coli Box 04 Tube 62	E144	Typical	35966	Feline	urinary	"Cystocentesis Urine, spun"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2008	31/10/08	CM2008-0692 E. coli box 4 Tube 65	CM2008-0692	E. coli Box 04 Tube 65	E145	Typical	250177	Canine	digestive	Faeces x1	S	S	S	.	S	S	R	S	.	.	.	.
Escherichia	2008	5/11/08	CM2008-0703 E. coli box 4 Tube 66	CM2008-0703	E. coli Box 04 Tube 66	E146	Typical	245303	Equine	Other	swab x1	R	.	.	R	S	R	R	R	R	.	.	.
Escherichia	2009	26/5/09	CM2009-0440  E. coli box 4  Tube 67	CM2009-0440	E. coli Box 04 Tube 67	E147	Typical	255187	Canine	digestive	"Faecal swab X1

C. diff project as well"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	28/5/09	CM2009-0448  E. coli box 4 Tube 68	CM2009-0448	E. coli Box 04 Tube 68	E148	Mucoid	254167	Canine	digestive	"Faecal x1

E. coli investigation only!!

CANINE STUDY ALSO"	R	S	S	.	S	R	R	R	.	.	.	.
Escherichia	2009	9/6/09	CM2009-0468 E. coli Box 4 Tube 69	CM2009-0468	E. coli Box 04 Tube 69	E149	Typical	255469	Feline	urinary	Urine 0.2 ml	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	10/6/09	CM2009-0473 E. coli Box 4 Tube 70	CM2009-0473	E. coli Box 04 Tube 70	E150	"Weak Lactose fermenter, Mucoid"	255502	Feline	digestive	Small intestine	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	15/6/09	CM2009-0480 E. coli box 4 Tube 71	CM2009-0480	E. coli Box 04 Tube 71	E151	Typical	247309	Canine	digestive	"feacal swab

not charged"	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2009	17/6/09	CM2009-0488 E coli box 4 Tube 72	CM2009-0488	E. coli Box 04 Tube 72	E152	Typical	224921	Canine	urinary	Cyctocentesis	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	23/6/09	CM2009-0509 E coli box 4 Tube 73	CM2009-0509	E. coli Box 04 Tube 73	E153	Typical	no info	Canine	systemic or large cavities	"PWNK4 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2009	23/6/09	CM2009-0510 E coli box 4 Tube 74	CM2009-0510	E. coli Box 04 Tube 74	E154	Typical	no info	Canine	systemic or large cavities	"PWNK7 DOG; Faecal swab x1, bladder swab x1, uterus swab x1

Not to be charged!"	S	S	S	.	S	R	S	R	.	.	.	.
Escherichia	2010	5/8/10	CM2010-0362 E coli Box 5 Tube 1	CM2010-0362	E. coli Box 05 Tube 1	E155	Typical	W048-10	Exotic/other	systemic or large cavities	Peritoneal fluid swab and Pus from Liver abcess swab	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	5/8/10	CM2010-0362 E coli Box 5 Tube 2	CM2010-0362	E. coli Box 05 Tube 2	E156	Typical	W048-10	Exotic/other	systemic or large cavities	Peritoneal fluid swab and Pus from Liver abcess swab	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	17/8/10	CM2010-0384 E coli Box 5 Tube 4	CM2010-0384	E. coli Box 05 Tube 4	E157	Typical	265629	Exotic/other	digestive	Rabbit small intestine.	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	10/9/10	CM2010-0438 E coli Box 5 Tube 12	CM2010-0438	E. coli Box 05 Tube 12	E158	Typical	NA	Bovine	Other	Faecal swabs from calves and feeding milk	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	10/9/10	CM2010-0438 E coli Box 5 Tube 13	CM2010-0438	E. coli Box 05 Tube 13	E159	Typical	NA	Bovine	Other	Faecal swabs from calves and feeding milk	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	10/9/10	CM2010-0438 E coli Box 5 Tube 14	CM2010-0438	E. coli Box 05 Tube 14	E160	Typical	NA	Bovine	Other	Faecal swabs from calves and feeding milk	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	10/9/10	CM2010-0438 E coli Box 5 Tube 15	CM2010-0438	E. coli Box 05 Tube 15	E161	Typical	NA	Bovine	Other	Faecal swabs from calves and feeding milk	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	10/9/10	CM2010-0438 E coli Box 5 Tube 16	CM2010-0438	E. coli Box 05 Tube 16	E162	Typical	NA	Bovine	Other	Faecal swabs from calves and feeding milk	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	13/9/10	CM2010-0444 E coli Box 5 Tube 23	CM2010-0444	E. coli Box 05 Tube 23	E163	Typical	266132	Feline	digestive	Faecal	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	15/9/10	CM2010-0447 E coli Box 5 Tube 24	CM2010-0447	E. coli Box 05 Tube 24	E164	Typical	242258	Canine	digestive	Faecal	R	R	S	.	S	S	R	R	.	.	.	.
Escherichia	2010	15/9/10	CM2010-0449 E coli Box 5 Tube 25	CM2010-0449	E. coli Box 05 Tube 25	E165	Typical	266171	Equine	systemic or large cavities	"Liver, Lung and Spleen."	.	.	.	.	.	.	.	.	.	.	.	.
Escherichia	2010	17/9/10	CM2010-0459 E coli Box 5 Tube 26	CM2010-0459	E. coli Box 05 Tube 26	E166	Typical	266250	Canine	urinary	Cystocentesis urine	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	14/9/10	CM2010-0446 E coli Box 5 Tube 28	CM2010-0446	E. coli Box 05 Tube 28	E167	Non Lactose Fermenter	266215	Equine	respiratory	"Pleural fluid, Trachael mucus."	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2010	19/10/10	CM2010-0531 E coli Box 5 Tube 36	CM2010-0531	E. coli Box 05 Tube 36	E168	Typical	94390	Feline	urinary	Cystocentesis	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	25/10/10	CM2010-0542 E coli Box 5 Tube 37	CM2010-0542	E. coli Box 05 Tube 37	E169	Typical	264537	Feline	urinary	Cystocentesis	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	25/10/10	CM2010-0545 E coli Box 5 Tube 38	CM2010-0545	E. coli Box 05 Tube 38	E170	"Weak Lactose fermenter, Mucoid"	267137	Feline	systemic or large cavities	peritoneal fluid	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	26/10/10	CM2010-0547 E coli Box 5 Tube 39	CM2010-0547	E. coli Box 05 Tube 39	E171	Typical	267164	Canine	digestive	Faecal Swab	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	28/10/10	CM2010-0550 E coli Box 5 Tube 40	CM2010-0550	E. coli Box 05 Tube 40	E172	Typical	267094	Equine	skin and subcutis	Swab from ventral midline incision	R	.	.	S	S	S	R	R	R	.	.	.
Escherichia	2010	2/11/10	CM2010-0567 E coli Box 5 Tube 42	CM2010-0567	E. coli Box 05 Tube 42	E173	Typical	267315	Feline	urinary	hematuria	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	9/11/10	CM2010-0590 E coli Box 5 Tube 47	CM2010-0590	E. coli Box 05 Tube 47	E174	Typical	264537	Feline	urinary	Cystocentesis	R	R	S	S	S	R	S	S	.	.	.	.
Escherichia	2010	10/11/10	CM2010-0597 E coli Box 5 Tube 48	CM2010-0597	E. coli Box 05 Tube 48	E175	Typical	267448	Canine	digestive	Faecal	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	12/11/10	CM2010-0606 E coli Box 5 Tube 49	CM2010-0606	E. coli Box 05 Tube 49	E176	Typical	267588	Canine	digestive	Faecal	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	17/11/10	CM2010-0618 E coli Box 5 Tube 50	CM2010-0618	E. coli Box 05 Tube 50	E177	Typical	267398	Equine	skin and subcutis	Swab from incision	R	.	.	S	S	R	R	R	R	.	.	.
Escherichia	2010	17/11/10	CM2010-0618 E coli Box 5 Tube 51	CM2010-0618	E. coli Box 05 Tube 51	E178	Typical	267398	Equine	skin and subcutis	Swab from incision	R	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2010	17/11/10	CM2010-0619 E coli Box 5 Tube 52	CM2010-0619	E. coli Box 05 Tube 52	E179	Typical	267697	Equine	cardiovascular	Blood culture	S	.	.	S	S	S	S	S	S	.	.	.
Escherichia	2010	8/12/10	CM2010-0660 E coli Box 5 Tube 54	CM2010-0660	E. coli Box 05 Tube 54	E180	Typical	268243	Canine	respiratory	"BAL, spun."	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	9/12/10	CM2010-0662 E coli Box 5 Tube 55	CM2010-0662	E. coli Box 05 Tube 55	E181	Non Lactose Fermenter	33351	Feline	urinary	Cystocentesis	R	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	13/12/10	CM2010-0668 E coli Box 5 Tube 57	CM2010-0668	E. coli Box 05 Tube 57	E182	Typical	268123	Canine	digestive	Liver and Bile	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2010	20/12/10	CM2010-0682 E coli Box 5 Tube 62	CM2010-0682	E. coli Box 05 Tube 62	E183	Typical	244416	Canine	urinary	Cystocentesis	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2011	17/1/11	CM2011-0031 E coli Box 6 Tube 1	CM2011-0031	E. coli Box 06 Tube 1	E184	Typical	241215	Canine	digestive	Faecal	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2011	27/1/11	CM2011-0055 E coli Box 6 Tube 2	CM2011-0055	E. coli Box 06 Tube 2	E185	Contaminated	269629	Equine	musculo-skeletal	Synovial fluid in BCB	S	.	.	S	S	R	S	S	S	.	S	.
Escherichia	2011	10/2/11	CM2011-0079 E coli Box 6 Tube 5	CM2011-0079	E. coli Box 06 Tube 5	E186	Typical	269972	Canine	respiratory	Discharge from ET tube.	S	S	S	.	S	S	S	S	.	.	.	.
Escherichia	2011	23/2/11	CM2011-0103 E coli Box 6 Tube 6	CM2011-0103	E. coli Box 06 Tube 6	E187	Typical	270296	Feline	urinary	Catheter urine	S	S	S	.	S	S	S	S	.	.	.	.
